Category: All categories

Region,parents hate me: (2007)
Hawaii,
Idaho,
Nevada,
Oregon,
Louisiana,
Washington,
Illinois,100
Missouri,
North Carolina,
New York,16
California,<1
Alaska,
Alabama,
Arkansas,
Arizona,
Colorado,
Connecticut,
District of Columbia,
Delaware,
Florida,
Georgia,
Iowa,
Indiana,
Kansas,
Kentucky,
Massachusetts,
Maryland,
Maine,
Michigan,
Minnesota,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Ohio,
Oklahoma,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Texas,
Utah,
Virginia,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
