Category: All categories

Region,poisoning: (2015)
West Virginia,100
Hawaii,99
Wyoming,98
Maine,98
Montana,97
Wisconsin,94
Colorado,94
Ohio,93
Michigan,92
Iowa,89
Vermont,87
South Dakota,87
Idaho,86
New Hampshire,86
Arkansas,86
Nebraska,85
Utah,85
New Mexico,85
Tennessee,85
Alaska,84
Pennsylvania,84
Minnesota,84
Illinois,84
Missouri,84
Rhode Island,83
Washington,83
Delaware,82
Indiana,82
Arizona,81
North Dakota,81
California,81
Georgia,81
Kentucky,81
Oklahoma,80
Alabama,80
South Carolina,79
Nevada,79
Florida,78
New York,76
Mississippi,76
Texas,76
North Carolina,76
District of Columbia,76
Connecticut,74
Massachusetts,74
Maryland,74
New Jersey,72
Louisiana,70
Kansas,66
Oregon,62
Virginia,53
