Category: All categories

Region,poisoning: (2019)
Alaska,100
West Virginia,99
Hawaii,98
Ohio,96
Missouri,94
Vermont,94
Utah,94
Indiana,94
South Dakota,93
Maine,92
Alabama,92
New Hampshire,91
Michigan,91
Rhode Island,90
North Carolina,89
Kentucky,89
Minnesota,88
Wyoming,88
Oregon,88
Idaho,88
Pennsylvania,87
Tennessee,86
North Dakota,86
Virginia,84
Wisconsin,84
Delaware,84
Washington,84
Nebraska,83
New Mexico,83
Connecticut,83
California,82
Colorado,82
Illinois,82
Montana,82
Massachusetts,81
South Carolina,80
Iowa,79
Florida,79
Arizona,79
Texas,77
Mississippi,75
Nevada,75
Kansas,75
Georgia,75
New York,74
Arkansas,74
Oklahoma,73
Maryland,73
New Jersey,73
District of Columbia,71
Louisiana,69
