Category: All categories

Region,ptsd: (2010)
New Mexico,100
Wyoming,95
Montana,93
Hawaii,87
New Hampshire,85
Maine,84
Alaska,80
Oregon,79
Missouri,76
North Dakota,70
Rhode Island,70
Oklahoma,70
West Virginia,70
Maryland,67
North Carolina,66
Colorado,65
Vermont,64
Washington,64
District of Columbia,63
Connecticut,63
South Carolina,61
Kentucky,61
Massachusetts,60
Wisconsin,60
Nebraska,60
Arizona,59
Kansas,59
Arkansas,58
Alabama,57
Tennessee,57
Iowa,56
Minnesota,54
Pennsylvania,54
Idaho,53
Mississippi,53
Nevada,53
Utah,53
Ohio,48
Louisiana,48
South Dakota,48
Texas,47
New Jersey,46
Delaware,46
Michigan,46
Georgia,45
Indiana,44
Illinois,44
Florida,44
New York,43
California,30
Virginia,27
