Category: All categories

Region,queer: (2019)
District of Columbia,100
Vermont,83
Oregon,79
Washington,70
Massachusetts,67
New York,61
Rhode Island,59
Maine,59
Colorado,58
Utah,57
Kansas,57
California,56
Missouri,54
Illinois,54
Minnesota,54
Pennsylvania,51
New Hampshire,50
Montana,47
Connecticut,47
Nebraska,46
Maryland,45
Idaho,44
New Jersey,43
Alaska,43
Iowa,42
Virginia,41
Delaware,41
North Carolina,40
Georgia,39
Hawaii,39
Texas,39
Wisconsin,39
New Mexico,39
Indiana,38
Arizona,38
Michigan,38
Ohio,38
Wyoming,37
Kentucky,37
North Dakota,37
Nevada,36
Oklahoma,35
Tennessee,35
Louisiana,33
West Virginia,33
South Carolina,32
Florida,32
Arkansas,32
South Dakota,32
Alabama,30
Mississippi,26
