Category: All categories

Region,sad music: (2016)
New Hampshire,100
Montana,96
Delaware,89
Alaska,
Maine,76
Indiana,72
Idaho,70
Kansas,66
Hawaii,66
Missouri,66
New Jersey,65
Oklahoma,65
Connecticut,64
Virginia,64
South Dakota,64
Oregon,64
New Mexico,64
West Virginia,64
Vermont,62
South Carolina,62
Minnesota,62
Colorado,62
Wisconsin,61
Iowa,61
Utah,61
North Carolina,60
Arkansas,58
Ohio,57
Rhode Island,57
Michigan,57
Arizona,57
California,57
Washington,56
Maryland,56
Kentucky,56
Pennsylvania,54
Illinois,54
Nebraska,53
Tennessee,52
Massachusetts,52
Mississippi,49
New York,49
Nevada,48
Texas,46
North Dakota,46
Georgia,45
Florida,44
Alabama,44
Louisiana,42
District of Columbia,29
Wyoming,
