Category: All categories

Region,self-injury: (2009)
Wyoming,
Delaware,
Hawaii,
Vermont,
Maryland,
Indiana,
Wisconsin,
Mississippi,
Alabama,
Washington,
New Jersey,
Massachusetts,100
District of Columbia,
Pennsylvania,77
Michigan,
New York,66
Minnesota,
Missouri,
Connecticut,
Georgia,
Illinois,33
Ohio,
Texas,33
Florida,22
California,22
Virginia,11
Alaska,
Arkansas,
Arizona,
Colorado,
Iowa,
Idaho,
Kansas,
Kentucky,
Louisiana,
Maine,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Utah,
West Virginia,
