Category: All categories

Region,Self harm: (2011)
Vermont,100
Wyoming,86
Montana,84
New Hampshire,84
Connecticut,79
Nebraska,77
Alaska,61
Iowa,61
New Jersey,61
Kentucky,58
South Carolina,57
Idaho,56
Arkansas,55
Virginia,55
Wisconsin,55
Utah,54
Indiana,53
Ohio,52
Pennsylvania,51
Massachusetts,49
Michigan,48
South Dakota,46
New Mexico,46
Missouri,46
Minnesota,45
New York,45
Alabama,45
North Carolina,45
Oregon,44
Tennessee,43
Maryland,43
Colorado,42
Illinois,42
West Virginia,41
North Dakota,41
Washington,40
Arizona,39
Maine,38
Kansas,37
Florida,36
Delaware,34
Texas,34
Georgia,34
California,33
Louisiana,26
Oklahoma,25
Nevada,25
Mississippi,23
Hawaii,22
District of Columbia,20
Rhode Island,
