Category: All categories

Region,Self harm: (2008)
West Virginia,100
Montana,96
Wyoming,75
Nebraska,64
Kentucky,63
Rhode Island,62
Utah,61
Alabama,59
Wisconsin,50
Nevada,49
Alaska,44
Tennessee,43
Hawaii,43
Kansas,40
New Mexico,39
Oregon,35
South Carolina,34
Idaho,33
Indiana,32
Arizona,32
Maryland,30
Pennsylvania,30
Michigan,29
North Carolina,28
Illinois,28
Louisiana,27
Massachusetts,27
Missouri,26
Oklahoma,26
Minnesota,25
District of Columbia,25
Florida,25
Washington,23
New York,23
Iowa,23
New Jersey,21
Virginia,21
Ohio,21
Texas,20
Connecticut,18
Georgia,17
California,13
Colorado,12
New Hampshire,
North Dakota,
South Dakota,
Delaware,
Vermont,
Maine,
Arkansas,
Mississippi,
