Category: All categories

Region,sexual abuse: (2009)
Wyoming,100
West Virginia,92
Iowa,86
Kentucky,82
Alaska,69
Delaware,67
North Dakota,64
Vermont,63
Montana,62
Kansas,62
Nebraska,61
New Hampshire,61
Utah,61
Rhode Island,58
Missouri,58
Tennessee,58
Idaho,57
Alabama,57
Wisconsin,56
Arkansas,55
Minnesota,54
Oklahoma,54
Louisiana,53
New Mexico,53
South Dakota,52
South Carolina,52
Maryland,50
Massachusetts,50
New York,50
Oregon,50
Pennsylvania,49
North Carolina,49
Hawaii,49
Colorado,48
Michigan,48
Illinois,47
Arizona,47
Ohio,47
Mississippi,47
Connecticut,46
Maine,46
Indiana,45
Washington,43
Georgia,42
Texas,42
New Jersey,42
Florida,42
District of Columbia,40
Nevada,36
California,29
Virginia,27
