Category: All categories

Region,sin: (2010)
Virginia,100
California,77
Vermont,36
Nevada,26
Florida,25
Texas,23
New York,20
Mississippi,19
Massachusetts,19
Arkansas,19
Rhode Island,18
New Jersey,18
Georgia,18
Wyoming,17
New Mexico,17
District of Columbia,17
Arizona,17
Illinois,16
Delaware,16
Connecticut,16
Oklahoma,16
Alabama,16
Washington,16
Indiana,15
South Carolina,15
North Carolina,15
Louisiana,15
West Virginia,15
Utah,15
North Dakota,15
Pennsylvania,15
Idaho,15
Kentucky,14
Maryland,14
Kansas,14
Ohio,13
Tennessee,13
South Dakota,13
Oregon,13
New Hampshire,13
Alaska,12
Michigan,12
Missouri,12
Nebraska,12
Iowa,12
Wisconsin,12
Montana,12
Colorado,12
Hawaii,11
Minnesota,11
Maine,10
