Category: All categories

Region,sin: (2016)
Nevada,100
Texas,91
Florida,88
California,78
Arkansas,75
New Jersey,73
Arizona,69
New York,69
New Mexico,67
Maryland,64
Georgia,63
Oklahoma,62
Alabama,61
Virginia,60
Illinois,60
Rhode Island,58
Kansas,58
Mississippi,57
Louisiana,56
Utah,56
Tennessee,56
Massachusetts,55
Connecticut,55
North Carolina,54
South Carolina,54
Indiana,54
Washington,54
Delaware,53
Colorado,53
Alaska,53
District of Columbia,52
Oregon,50
Wyoming,50
Pennsylvania,49
Kentucky,48
Nebraska,48
Missouri,48
Wisconsin,48
Ohio,47
West Virginia,47
Idaho,46
Michigan,44
South Dakota,44
Minnesota,44
Montana,43
Iowa,43
North Dakota,42
New Hampshire,40
Vermont,40
Hawaii,39
Maine,36
