Category: All categories

Region,single: (2012)
Arkansas,100
Indiana,98
Maryland,98
Mississippi,98
Louisiana,97
Utah,96
South Carolina,95
Vermont,95
Pennsylvania,95
Kansas,94
Oklahoma,93
Nevada,93
Wyoming,93
Kentucky,92
Tennessee,91
Delaware,91
Texas,91
Georgia,90
New Jersey,90
North Carolina,90
New Mexico,90
Virginia,90
Oregon,90
Arizona,89
South Dakota,89
West Virginia,89
Michigan,88
Massachusetts,88
Iowa,88
Idaho,87
Connecticut,87
Alabama,87
Wisconsin,87
Nebraska,87
Minnesota,87
Missouri,87
Colorado,86
North Dakota,86
Maine,86
Ohio,85
District of Columbia,85
Florida,85
California,84
Washington,84
Illinois,84
New Hampshire,83
Montana,81
Rhode Island,80
Alaska,80
New York,78
Hawaii,78
