Category: All categories

Region,smoking: (2021)
West Virginia,100
Missouri,94
Kentucky,92
Oklahoma,89
Indiana,88
Arkansas,88
Iowa,87
Nebraska,87
Michigan,87
Maine,87
Colorado,86
South Dakota,86
Mississippi,86
Minnesota,85
Pennsylvania,85
Vermont,85
Ohio,84
Wyoming,84
Wisconsin,84
Tennessee,84
Kansas,83
Illinois,83
Alabama,83
Nevada,83
Arizona,82
Alaska,82
Georgia,81
Oregon,80
South Carolina,79
Louisiana,79
North Dakota,78
Idaho,77
Washington,76
North Carolina,76
Connecticut,76
Virginia,75
Maryland,74
New Hampshire,74
Florida,74
New Mexico,73
Texas,73
Utah,73
Massachusetts,72
Montana,71
Rhode Island,71
New York,71
New Jersey,69
California,66
Delaware,65
District of Columbia,63
Hawaii,56
