Category: All categories

Region,stress: (2014)
Delaware,100
Connecticut,98
Maryland,97
Pennsylvania,96
Indiana,93
Massachusetts,90
South Dakota,90
New Jersey,89
Michigan,87
Alabama,87
Ohio,86
Wisconsin,86
Rhode Island,85
Vermont,85
West Virginia,85
Missouri,84
Iowa,84
Illinois,83
North Carolina,83
North Dakota,83
Wyoming,83
Maine,83
Tennessee,82
Kentucky,81
New Mexico,81
Minnesota,81
New York,80
Colorado,80
Montana,79
Arkansas,78
Utah,78
Idaho,78
South Carolina,78
Texas,78
California,78
Arizona,78
Oklahoma,78
Louisiana,77
New Hampshire,76
Washington,76
Georgia,75
District of Columbia,73
Mississippi,73
Nebraska,73
Florida,71
Kansas,70
Alaska,69
Nevada,69
Virginia,65
Hawaii,64
Oregon,46
