Category: All categories

Region,suicidal friend: (2011)
Wyoming,
New Hampshire,
Arkansas,
Hawaii,
Oklahoma,
Michigan,100
Maryland,
Nevada,
Utah,
Kentucky,
North Carolina,85
Missouri,
South Carolina,
Minnesota,
Tennessee,
Illinois,57
Iowa,
Washington,57
Alabama,
District of Columbia,
Connecticut,
California,42
New York,42
Arizona,
New Jersey,42
Texas,42
Virginia,42
Florida,42
Georgia,28
Pennsylvania,28
Wisconsin,28
Massachusetts,28
Ohio,28
Oregon,
Alaska,
Colorado,
Delaware,
Idaho,
Indiana,
Kansas,
Louisiana,
Maine,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Mexico,
Rhode Island,
South Dakota,
Vermont,
West Virginia,
