Category: All categories

Region,suicide: (2007)
Wyoming,100
New Mexico,93
West Virginia,87
South Dakota,85
Kentucky,83
Alaska,82
Delaware,82
Vermont,82
Idaho,81
New Hampshire,81
Indiana,80
Kansas,80
Maine,80
North Dakota,80
Oregon,79
Washington,79
Nevada,78
Utah,77
Rhode Island,77
Hawaii,76
Michigan,76
Ohio,76
Pennsylvania,75
Illinois,75
Montana,75
Massachusetts,74
California,74
Nebraska,73
New York,73
Alabama,71
Missouri,71
Mississippi,71
Virginia,71
Tennessee,71
Wisconsin,71
New Jersey,71
Arkansas,70
Iowa,70
Connecticut,70
Louisiana,68
Oklahoma,68
Maryland,68
Colorado,68
Texas,67
Florida,66
Arizona,66
Minnesota,63
Georgia,62
North Carolina,60
South Carolina,59
District of Columbia,58
