Category: All categories

Region,suicide: (2017)
Idaho,100
Utah,100
Wyoming,99
New Mexico,98
Colorado,97
Arizona,94
Missouri,92
West Virginia,92
Nevada,92
Kentucky,91
Oklahoma,91
Iowa,91
Nebraska,90
Tennessee,90
Vermont,90
Mississippi,89
Arkansas,88
Indiana,88
Kansas,88
New Hampshire,87
Ohio,87
Pennsylvania,87
Montana,87
Alaska,87
Maine,86
Connecticut,86
South Dakota,85
Wisconsin,85
Washington,85
California,85
Oregon,84
Illinois,84
Alabama,84
New Jersey,83
Massachusetts,83
Michigan,83
Texas,81
Maryland,81
Rhode Island,81
Minnesota,81
North Dakota,80
District of Columbia,79
North Carolina,79
New York,78
Delaware,78
South Carolina,77
Virginia,77
Louisiana,77
Georgia,75
Hawaii,74
Florida,74
