Category: All categories

Region,suicide attempt: (2013)
West Virginia,100
Wyoming,
North Dakota,
Rhode Island,61
Indiana,60
Wisconsin,60
District of Columbia,
Oklahoma,57
Kentucky,55
Tennessee,55
Connecticut,55
Maine,55
Alabama,52
Idaho,52
Delaware,52
Illinois,50
Kansas,50
North Carolina,49
Hawaii,49
Nevada,49
Virginia,49
Ohio,49
Michigan,49
Louisiana,47
Missouri,46
Massachusetts,46
Washington,46
Arizona,46
Mississippi,46
Minnesota,46
South Carolina,44
Pennsylvania,44
Vermont,
Arkansas,42
Texas,42
New Jersey,42
Colorado,42
New Mexico,42
New York,41
California,41
Georgia,41
Utah,41
Florida,39
Alaska,
Iowa,38
New Hampshire,34
Oregon,34
Maryland,34
Nebraska,30
Montana,
South Dakota,
