Category: All categories

Region,Suicide hotline: (2013)
Montana,100
Idaho,95
South Dakota,85
Nevada,81
Vermont,79
Colorado,77
West Virginia,77
Maine,76
Wyoming,73
Alaska,72
Arizona,69
Utah,68
Nebraska,67
Iowa,66
Washington,64
Ohio,62
Oklahoma,61
Michigan,61
Minnesota,60
Virginia,60
California,58
Delaware,57
Kansas,57
Wisconsin,56
Missouri,56
District of Columbia,55
Illinois,54
Kentucky,54
New Mexico,54
Maryland,54
Indiana,53
Pennsylvania,51
Rhode Island,50
Tennessee,50
New Hampshire,50
Connecticut,49
Massachusetts,48
North Carolina,48
New Jersey,47
Florida,47
New York,47
Georgia,46
Hawaii,46
Arkansas,46
Texas,45
Oregon,45
South Carolina,43
Louisiana,41
North Dakota,41
Alabama,40
Mississippi,38
