Category: All categories

Region,therapy: (2017)
Montana,100
Nebraska,100
Alaska,97
New York,96
Vermont,96
Connecticut,95
Idaho,94
Oregon,93
Wyoming,92
North Dakota,92
Iowa,91
Arizona,91
Colorado,90
Maine,89
Massachusetts,89
Rhode Island,88
Maryland,88
Pennsylvania,88
Delaware,88
Arkansas,87
Washington,86
New Jersey,85
New Hampshire,84
Utah,83
Missouri,82
West Virginia,82
South Dakota,81
Oklahoma,81
Kansas,79
Tennessee,78
Minnesota,78
New Mexico,78
Virginia,77
North Carolina,77
Michigan,76
Mississippi,76
Louisiana,75
Indiana,74
Kentucky,74
District of Columbia,74
Wisconsin,73
Illinois,73
California,73
Nevada,72
South Carolina,71
Alabama,71
Florida,71
Hawaii,70
Ohio,70
Texas,66
Georgia,65
