Category: All categories

Region,therapy: (2019)
Idaho,100
Montana,98
Nebraska,97
Connecticut,97
Massachusetts,94
Alaska,94
Rhode Island,94
Arizona,93
Utah,93
Maryland,91
New Jersey,91
New York,90
Maine,90
North Dakota,90
Oregon,89
Delaware,89
Colorado,89
Wyoming,88
Vermont,88
Arkansas,87
Washington,87
New Hampshire,86
Missouri,85
Kansas,85
West Virginia,84
Minnesota,84
Virginia,83
Iowa,83
Pennsylvania,83
South Dakota,83
New Mexico,83
North Carolina,80
Kentucky,79
Louisiana,79
Tennessee,79
Michigan,78
District of Columbia,78
Illinois,77
Hawaii,76
Wisconsin,75
Oklahoma,75
California,74
Florida,74
Mississippi,74
Alabama,73
South Carolina,72
Indiana,72
Nevada,72
Ohio,70
Texas,70
Georgia,66
