Category: All categories

Region,tie a noose: (2006)
Wyoming,
Iowa,100
Alaska,
Kentucky,66
Utah,64
Nebraska,59
Wisconsin,50
Nevada,42
Indiana,40
Oklahoma,38
Connecticut,29
Ohio,25
Oregon,24
Pennsylvania,22
Michigan,22
Colorado,20
Illinois,20
North Carolina,20
Minnesota,18
Texas,16
Missouri,14
California,14
Arizona,14
Washington,12
New Jersey,12
Virginia,11
New York,9
Alabama,
Arkansas,
District of Columbia,
Delaware,
Florida,
Georgia,
Hawaii,
Idaho,
Kansas,
Louisiana,
Massachusetts,
Maryland,
Maine,
Mississippi,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Vermont,
West Virginia,
