Category: All categories

Region,time to die: (2013)
Maine,100
West Virginia,96
Arkansas,84
North Dakota,82
Idaho,80
Vermont,80
New Hampshire,78
Connecticut,74
Kentucky,72
Indiana,72
Iowa,70
Ohio,68
Nevada,68
Michigan,66
Montana,66
Alabama,64
Kansas,64
Rhode Island,64
Hawaii,64
New Jersey,64
Pennsylvania,64
North Carolina,62
Wisconsin,62
Virginia,62
Texas,62
New Mexico,60
New York,60
Florida,58
Louisiana,58
South Carolina,58
Illinois,58
Colorado,58
Washington,58
Missouri,58
Tennessee,56
Minnesota,56
Massachusetts,56
Georgia,56
Arizona,54
Nebraska,54
California,52
Utah,52
South Dakota,50
Wyoming,50
Oklahoma,50
Mississippi,48
District of Columbia,46
Maryland,40
Oregon,38
Delaware,18
Alaska,
