Category: All categories

Region,trans: (2009)
Wyoming,100
West Virginia,91
North Dakota,79
Nevada,73
Iowa,71
Ohio,71
Illinois,70
Kansas,69
Wisconsin,68
Indiana,68
Oklahoma,68
Pennsylvania,68
Arkansas,65
Michigan,65
South Dakota,65
Vermont,64
New Mexico,63
Mississippi,63
Nebraska,61
Delaware,61
Kentucky,60
Texas,60
New Jersey,60
Utah,60
Maine,60
South Carolina,59
California,59
Tennessee,58
Missouri,58
Colorado,57
Florida,57
New Hampshire,57
Alabama,57
Idaho,56
Alaska,56
Rhode Island,55
Minnesota,55
Virginia,54
Louisiana,54
Montana,54
Maryland,53
Oregon,53
Hawaii,53
Arizona,53
Connecticut,51
North Carolina,50
Georgia,49
District of Columbia,49
New York,46
Washington,46
Massachusetts,45
