Category: All categories

Region,transphobia: (2007)
Maine,100
Nevada,53
Utah,24
Arizona,17
Michigan,7
North Carolina,7
Washington,4
Georgia,4
New York,<1
Alaska,
Alabama,
Arkansas,
California,
Colorado,
Connecticut,
District of Columbia,
Delaware,
Florida,
Hawaii,
Iowa,
Idaho,
Illinois,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Minnesota,
Missouri,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Ohio,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Texas,
Virginia,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
