Category: All categories

Region,trauma: (2004)
Maine,100
Alaska,79
Maryland,71
Mississippi,65
North Dakota,62
Montana,62
Tennessee,61
Vermont,60
South Carolina,59
Oregon,58
West Virginia,57
Hawaii,56
Massachusetts,56
New Hampshire,56
Kentucky,56
Pennsylvania,55
Arkansas,54
North Carolina,53
New Mexico,53
Louisiana,53
Nebraska,53
Rhode Island,52
Connecticut,52
Texas,52
Ohio,52
Oklahoma,51
Wisconsin,50
Delaware,49
Florida,49
Minnesota,48
Washington,48
Colorado,47
Michigan,47
Virginia,47
Georgia,46
Alabama,46
Arizona,46
District of Columbia,45
New York,45
Illinois,44
Missouri,43
Nevada,42
South Dakota,39
California,38
New Jersey,37
Indiana,37
Iowa,35
Wyoming,35
Kansas,29
Utah,29
Idaho,17
