Category: All categories

Region,trauma: (2007)
West Virginia,100
Maryland,92
Vermont,88
Wyoming,86
Maine,84
New Mexico,69
South Dakota,69
Alaska,67
Pennsylvania,66
Oklahoma,65
New Hampshire,64
Delaware,64
Oregon,63
Massachusetts,62
North Dakota,61
Colorado,61
Missouri,61
Kansas,61
Tennessee,60
Mississippi,60
Montana,58
Connecticut,57
Michigan,57
Arizona,56
Ohio,56
Rhode Island,56
District of Columbia,55
Florida,55
Virginia,55
South Carolina,54
North Carolina,53
Washington,53
Kentucky,52
Wisconsin,52
Alabama,51
Utah,51
Nevada,51
Indiana,50
Illinois,50
New York,50
Iowa,50
Texas,49
Minnesota,49
Nebraska,48
Louisiana,48
New Jersey,47
Idaho,47
Georgia,46
Arkansas,44
California,44
Hawaii,39
