Category: All categories

Region,tylenol: (2015)
West Virginia,100
South Dakota,93
Mississippi,87
Arkansas,86
North Dakota,85
Michigan,84
Nebraska,84
Texas,80
Oklahoma,78
Alaska,78
Kentucky,78
South Carolina,77
Wyoming,77
Iowa,76
Montana,76
Tennessee,76
Georgia,76
Maine,76
Louisiana,74
Illinois,74
Minnesota,73
North Carolina,73
Massachusetts,72
Arizona,72
New York,71
Utah,71
Delaware,71
Ohio,71
Pennsylvania,71
Wisconsin,71
Florida,70
Washington,70
District of Columbia,70
Alabama,70
Missouri,70
New Jersey,69
Colorado,68
Indiana,68
Connecticut,68
Vermont,67
Hawaii,66
Idaho,66
New Hampshire,66
Rhode Island,64
New Mexico,64
Maryland,64
California,63
Nevada,63
Kansas,58
Virginia,46
Oregon,45
