Category: All categories

Region,tylenol overdose: (2005)
South Dakota,
West Virginia,
Mississippi,
Nebraska,
Alabama,100
Nevada,79
Arkansas,
Utah,66
New Mexico,
Louisiana,
Connecticut,54
Kentucky,52
Arizona,48
Pennsylvania,41
Ohio,37
Colorado,33
Georgia,33
South Carolina,29
Washington,29
Oregon,26
Minnesota,26
Illinois,23
Virginia,23
New York,22
Michigan,22
New Jersey,20
Indiana,20
Florida,19
Missouri,19
Tennessee,15
California,15
Massachusetts,13
North Carolina,11
Texas,6
Alaska,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Idaho,
Kansas,
Maryland,
Maine,
Montana,
North Dakota,
New Hampshire,
Oklahoma,
Rhode Island,
Vermont,
Wisconsin,
Wyoming,
