Category: All categories

Region,worthless: (2011)
Alabama,100
Iowa,72
Mississippi,71
West Virginia,70
New Mexico,68
Delaware,64
Oklahoma,64
Louisiana,64
North Dakota,63
Missouri,63
Kansas,62
Indiana,62
South Carolina,60
North Carolina,60
Ohio,56
Nebraska,56
Virginia,55
Tennessee,54
Florida,54
Nevada,54
Georgia,52
Wisconsin,52
Wyoming,51
Maryland,50
Kentucky,50
Minnesota,50
Maine,49
Idaho,49
Utah,48
Colorado,47
Pennsylvania,46
New Hampshire,45
Michigan,45
Texas,45
Oregon,45
Vermont,45
Illinois,44
South Dakota,42
New Jersey,42
New York,41
Washington,41
Arkansas,40
California,40
Arizona,39
Connecticut,39
Montana,36
Massachusetts,36
Hawaii,34
District of Columbia,31
Rhode Island,25
Alaska,24
