Category: All categories

Region,Abusive parents: (2020)
Utah,100
Oregon,88
Washington,86
Minnesota,85
Iowa,82
Oklahoma,75
Maryland,75
New Jersey,75
Michigan,74
North Carolina,73
Ohio,72
Illinois,71
Pennsylvania,70
California,69
Massachusetts,68
Missouri,68
Colorado,67
Texas,67
New York,66
Tennessee,66
Florida,66
Virginia,65
Alabama,65
Kentucky,64
Indiana,63
Georgia,61
Connecticut,58
Arizona,52
South Carolina,51
Wisconsin,49
New Mexico,
Montana,
Vermont,
Wyoming,
Nebraska,
Nevada,
Idaho,
District of Columbia,
Kansas,
South Dakota,
Arkansas,
Maine,
Delaware,
Louisiana,
New Hampshire,
Hawaii,
Mississippi,
West Virginia,
Rhode Island,
North Dakota,
Alaska,
