Category: All categories

Region,Antisocial: (2009)
Utah,100
Arkansas,98
Mississippi,98
New Hampshire,97
Delaware,93
West Virginia,78
Iowa,78
Idaho,75
Indiana,74
Kentucky,73
North Carolina,68
Louisiana,66
Connecticut,66
Pennsylvania,66
Rhode Island,65
Florida,64
Hawaii,64
Wisconsin,64
South Dakota,62
Vermont,61
Alabama,61
Minnesota,61
Nebraska,60
Colorado,60
Maine,60
District of Columbia,60
Tennessee,59
Georgia,56
New Jersey,55
Texas,55
Alaska,54
Washington,53
Michigan,52
Kansas,51
Nevada,50
New York,50
Oklahoma,48
Oregon,48
Ohio,47
Massachusetts,47
South Carolina,45
Missouri,43
Maryland,43
Virginia,42
Illinois,41
California,40
Arizona,38
Montana,32
North Dakota,
New Mexico,
Wyoming,
