Category: All categories

Region,Antisocial personality: (2004)
North Dakota,100
New Hampshire,59
Maine,28
New Mexico,21
Indiana,16
Nevada,14
Kentucky,14
North Carolina,11
Pennsylvania,10
Washington,10
Minnesota,9
Illinois,9
Utah,9
Ohio,8
Missouri,8
Texas,8
Colorado,8
Kansas,7
Maryland,7
New York,7
Florida,7
Michigan,6
Virginia,6
Massachusetts,6
Wisconsin,6
New Jersey,5
Arizona,5
Georgia,5
District of Columbia,
Connecticut,5
California,4
Alaska,
Alabama,
Arkansas,
Delaware,
Hawaii,
Iowa,
Idaho,
Louisiana,
Mississippi,
Montana,
Nebraska,
Oklahoma,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Vermont,
West Virginia,
Wyoming,
