Category: All categories

Region,Antisocial personality disorder: (2021)
North Dakota,100
Vermont,78
Montana,76
New Hampshire,74
Iowa,68
Oklahoma,68
Utah,68
Nebraska,65
Connecticut,65
Mississippi,65
Maryland,65
Missouri,63
Kansas,61
Idaho,61
West Virginia,61
Kentucky,61
Virginia,59
Arkansas,59
Wisconsin,57
Illinois,57
North Carolina,57
Indiana,57
Ohio,57
Arizona,57
District of Columbia,55
Washington,55
Michigan,55
Louisiana,55
South Carolina,55
Colorado,53
Wyoming,
Rhode Island,53
Minnesota,53
Pennsylvania,51
Delaware,51
Oregon,48
Alabama,48
Georgia,48
New Mexico,46
Massachusetts,46
California,46
New Jersey,46
Florida,46
New York,44
South Dakota,44
Texas,44
Tennessee,44
Maine,42
Nevada,42
Hawaii,25
Alaska,
