Category: All categories

Region,Avoidant: (2017)
Wyoming,100
Maine,91
Vermont,85
Oregon,78
Alaska,77
New Mexico,72
Massachusetts,70
Washington,70
Utah,68
Minnesota,68
Montana,67
Maryland,63
Idaho,63
Iowa,62
Connecticut,62
Colorado,60
Kansas,60
New York,60
New Hampshire,57
Virginia,55
California,55
Pennsylvania,55
Tennessee,54
District of Columbia,54
Michigan,54
Louisiana,52
Missouri,52
Arizona,52
Kentucky,50
Ohio,50
West Virginia,49
New Jersey,49
Illinois,49
South Carolina,47
North Carolina,47
Indiana,45
Oklahoma,45
Wisconsin,44
Texas,42
Florida,42
Nebraska,42
Georgia,40
Hawaii,40
Rhode Island,39
Nevada,39
South Dakota,34
Alabama,32
North Dakota,29
Arkansas,26
Mississippi,26
Delaware,14
