Category: All categories

Region,Avoidant personality: (2013)
South Dakota,
Maine,
Idaho,100
New Mexico,
West Virginia,90
Wyoming,
Alabama,81
Mississippi,
Rhode Island,
Connecticut,78
Indiana,75
Kentucky,75
Utah,72
North Dakota,
Washington,72
New Hampshire,
North Carolina,69
Tennessee,66
Virginia,63
Colorado,63
Massachusetts,63
Pennsylvania,60
New Jersey,60
Minnesota,60
New York,57
Hawaii,
Michigan,57
Missouri,54
Maryland,54
Georgia,54
Delaware,
Oklahoma,54
Florida,54
Kansas,51
Illinois,51
Ohio,51
South Carolina,51
Nevada,51
California,48
Louisiana,48
Wisconsin,48
Arizona,45
Arkansas,45
Nebraska,
Oregon,39
Texas,39
Iowa,33
District of Columbia,
Alaska,
Montana,
Vermont,
