Category: All categories

Region,Avoidant personality disorder: (2011)
North Dakota,
Arkansas,100
South Dakota,
Wyoming,
New Mexico,73
Maine,66
Montana,
Mississippi,61
Tennessee,61
Oregon,57
Minnesota,54
Kansas,54
Washington,52
Vermont,
Virginia,52
Connecticut,50
Kentucky,50
Utah,47
Indiana,47
South Carolina,47
Maryland,47
Pennsylvania,45
Nevada,45
Idaho,
California,45
Wisconsin,42
Missouri,42
Alabama,42
Georgia,42
Oklahoma,42
Iowa,42
North Carolina,42
Michigan,40
Florida,40
Massachusetts,40
Ohio,40
Texas,38
Illinois,38
New York,38
West Virginia,35
Colorado,35
Arizona,33
New Jersey,33
Nebraska,33
Rhode Island,
Louisiana,30
New Hampshire,28
District of Columbia,26
Hawaii,
Alaska,
Delaware,
