Category: All categories

Region,Borderline: (2009)
New Hampshire,100
Maine,82
Delaware,81
Montana,79
Connecticut,76
Idaho,76
West Virginia,76
Massachusetts,70
Rhode Island,70
Minnesota,69
Oregon,66
New Mexico,66
Washington,66
North Carolina,65
Maryland,64
Utah,64
Indiana,64
Wyoming,64
Pennsylvania,63
Colorado,63
Kentucky,63
New York,62
South Carolina,59
Missouri,59
New Jersey,59
Ohio,58
North Dakota,58
Arizona,58
Michigan,58
Iowa,58
Oklahoma,57
Arkansas,56
Louisiana,56
South Dakota,55
Kansas,55
Tennessee,55
District of Columbia,54
Vermont,54
Illinois,53
Alabama,52
Alaska,52
Georgia,50
Florida,50
Nebraska,50
Mississippi,49
Nevada,49
Texas,49
Wisconsin,48
Hawaii,45
California,43
Virginia,40
