Category: All categories

Region,Borderline personality: (2005)
Vermont,100
Idaho,85
Alaska,79
New Mexico,71
South Dakota,68
Mississippi,68
Minnesota,66
Rhode Island,64
Connecticut,64
Iowa,63
Montana,62
Alabama,61
Kentucky,61
North Carolina,59
Pennsylvania,59
Utah,59
Kansas,59
Oregon,59
Colorado,58
Washington,58
Missouri,57
Delaware,55
New York,53
Georgia,53
Massachusetts,51
New Hampshire,51
Michigan,50
Nebraska,50
Indiana,50
Tennessee,50
West Virginia,48
North Dakota,47
South Carolina,47
Arizona,47
Virginia,46
Maine,46
Illinois,44
Wisconsin,44
Florida,43
Louisiana,42
Ohio,41
Maryland,40
Texas,38
New Jersey,37
Wyoming,37
California,37
Arkansas,34
Oklahoma,32
District of Columbia,30
Nevada,20
Hawaii,20
