Category: All categories

Region,Borderline personality disorder: (2015)
Maine,100
Vermont,99
New Hampshire,92
Minnesota,81
Massachusetts,81
Montana,81
South Dakota,78
Connecticut,77
Indiana,75
Idaho,74
Utah,73
West Virginia,72
Delaware,71
Washington,70
Missouri,67
Kentucky,67
Michigan,67
New Mexico,67
Pennsylvania,67
Rhode Island,67
Colorado,66
Wisconsin,65
Arkansas,65
New Jersey,63
Iowa,63
New York,62
Ohio,62
Wyoming,62
Arizona,61
Tennessee,60
North Carolina,60
South Carolina,60
Oklahoma,60
Nebraska,59
Mississippi,58
Louisiana,58
Oregon,58
Maryland,57
Alabama,56
District of Columbia,55
California,54
Nevada,54
Illinois,53
Kansas,51
Hawaii,50
North Dakota,50
Georgia,49
Florida,49
Alaska,48
Texas,40
Virginia,39
