Category: All categories

Region,Bullying: (2020)
New Jersey,100
Hawaii,95
Delaware,88
South Dakota,87
Mississippi,87
Connecticut,86
California,85
Maryland,82
Kansas,81
Arkansas,80
New York,80
Nebraska,79
Rhode Island,79
West Virginia,79
Illinois,79
Florida,79
Vermont,79
Indiana,77
District of Columbia,77
Texas,77
South Carolina,76
Kentucky,76
Iowa,75
Maine,74
Louisiana,73
New Mexico,72
Wisconsin,72
North Dakota,72
Alaska,71
Virginia,71
Idaho,71
Alabama,70
Missouri,69
New Hampshire,69
Oregon,68
North Carolina,68
Minnesota,68
Nevada,68
Massachusetts,67
Oklahoma,67
Pennsylvania,67
Arizona,66
Ohio,66
Georgia,65
Utah,64
Washington,64
Wyoming,62
Tennessee,62
Michigan,59
Colorado,58
Montana,54
