Category: All categories

Region,Coping with stress: (2005)
West Virginia,100
Mississippi,84
Kentucky,39
Indiana,24
Pennsylvania,21
Kansas,20
Tennessee,20
Georgia,17
South Carolina,17
Louisiana,16
Wisconsin,14
Maryland,13
Ohio,13
Connecticut,13
Minnesota,13
Oregon,12
Florida,11
New Jersey,9
Washington,9
New York,9
North Carolina,9
Colorado,6
Virginia,5
California,5
Massachusetts,4
Illinois,3
Texas,3
Maine,
Wyoming,
Vermont,
Hawaii,
North Dakota,
Nebraska,
New Hampshire,
Montana,
New Mexico,
Nevada,
Arkansas,
Missouri,
Oklahoma,
Michigan,
Arizona,
Rhode Island,
South Dakota,
Utah,
Idaho,
Iowa,
Delaware,
District of Columbia,
Alabama,
Alaska,
