Category: All categories

Region,Cutting: (2012)
Montana,100
Oregon,95
South Dakota,94
Idaho,93
Wyoming,92
North Dakota,90
Vermont,88
Maine,86
Alaska,84
Wisconsin,84
New Hampshire,80
Connecticut,80
North Carolina,78
Colorado,78
West Virginia,77
New Mexico,76
Michigan,75
Virginia,74
Delaware,74
Washington,74
Hawaii,74
Rhode Island,74
Pennsylvania,74
Louisiana,74
Indiana,73
Arkansas,73
Tennessee,72
Utah,72
Ohio,71
Minnesota,71
Oklahoma,70
Texas,69
Iowa,69
Arizona,69
Nebraska,68
Massachusetts,68
Missouri,68
Kentucky,67
South Carolina,67
New Jersey,67
Alabama,67
Kansas,66
Mississippi,66
Illinois,66
California,64
Georgia,64
Maryland,64
New York,64
Nevada,61
Florida,60
District of Columbia,52
