Category: All categories

Region,Dependent: (2006)
Maryland,100
Maine,89
Virginia,87
Connecticut,83
Kentucky,82
Delaware,81
Minnesota,80
Missouri,79
District of Columbia,76
South Carolina,76
Massachusetts,75
Pennsylvania,75
North Carolina,71
Alabama,71
Texas,69
New Mexico,68
Colorado,68
Idaho,68
Ohio,68
Utah,67
Illinois,67
Iowa,66
Hawaii,65
Michigan,65
California,65
Nebraska,64
South Dakota,63
Wisconsin,63
Indiana,62
Mississippi,62
West Virginia,62
Georgia,62
Alaska,61
Washington,61
Tennessee,60
Rhode Island,60
New York,60
New Hampshire,59
Oklahoma,58
Arizona,58
New Jersey,57
Arkansas,56
Oregon,55
Florida,55
Montana,54
Kansas,49
Vermont,48
Wyoming,45
Nevada,45
Louisiana,44
North Dakota,43
