Category: All categories

Region,Dependent personality: (2021)
Vermont,
South Dakota,
Idaho,
Utah,
Rhode Island,
Minnesota,100
Indiana,100
Connecticut,91
North Dakota,
Hawaii,
Kentucky,83
Maryland,83
Iowa,
Colorado,75
Missouri,75
Michigan,75
West Virginia,
Nevada,
Ohio,75
Illinois,75
District of Columbia,
Alabama,
Massachusetts,75
North Carolina,75
Oklahoma,
Arkansas,
Washington,66
Florida,66
California,66
Virginia,58
Pennsylvania,58
Louisiana,58
Kansas,
New Jersey,58
South Carolina,58
New York,58
Oregon,
Nebraska,
Texas,50
Georgia,50
Mississippi,
Montana,
Wisconsin,41
Delaware,
Arizona,41
New Hampshire,
Tennessee,33
New Mexico,
Alaska,
Maine,
Wyoming,
