Category: All categories

Region,Dependent personality disorder: (2021)
Rhode Island,100
Alaska,
Utah,46
North Dakota,
Vermont,28
Minnesota,28
Indiana,28
Missouri,28
Kentucky,25
Mississippi,25
Ohio,25
Maryland,25
Kansas,25
Illinois,25
Massachusetts,21
Oregon,21
Iowa,21
Arkansas,21
Michigan,21
South Carolina,21
Colorado,21
Maine,21
Nebraska,18
Virginia,18
North Carolina,18
Florida,18
Louisiana,18
Connecticut,18
New Jersey,18
Arizona,18
Hawaii,
California,18
Pennsylvania,18
District of Columbia,15
Washington,15
Wisconsin,15
Oklahoma,15
New York,15
Idaho,15
Alabama,15
Texas,15
Georgia,15
Tennessee,12
Nevada,12
Montana,12
New Mexico,6
Delaware,
New Hampshire,
South Dakota,
West Virginia,
Wyoming,
