Category: All categories

Region,Divorce: (2005)
Oklahoma,100
Nevada,98
Arkansas,98
Utah,92
Texas,91
Alabama,91
Tennessee,91
Colorado,90
Nebraska,88
Idaho,87
Mississippi,87
Delaware,87
Wyoming,86
District of Columbia,86
South Carolina,85
New Mexico,84
Georgia,83
Kentucky,83
Florida,82
Kansas,80
Arizona,80
Missouri,80
Iowa,79
Indiana,78
Wisconsin,78
North Carolina,78
South Dakota,77
Maryland,76
Montana,76
West Virginia,75
New Hampshire,74
Virginia,74
Illinois,73
Louisiana,73
California,73
Michigan,73
Ohio,72
Minnesota,72
North Dakota,71
Oregon,71
Washington,70
New York,68
Connecticut,66
Maine,66
Hawaii,65
New Jersey,64
Pennsylvania,63
Alaska,61
Rhode Island,60
Vermont,59
Massachusetts,58
