Category: All categories

Region,Eating disorder: (2010)
New Hampshire,100
North Dakota,100
Maine,92
Indiana,89
Minnesota,89
Iowa,86
Pennsylvania,85
Connecticut,85
Massachusetts,85
Rhode Island,84
Nebraska,81
Alabama,77
Maryland,77
Wisconsin,75
Montana,73
Colorado,73
Oregon,71
Utah,69
Nevada,68
Missouri,67
Ohio,67
Michigan,66
New York,66
Delaware,65
South Carolina,65
Mississippi,65
Tennessee,64
Illinois,63
Washington,61
New Jersey,61
North Carolina,61
Arizona,61
South Dakota,60
Idaho,60
Oklahoma,59
Wyoming,58
Florida,56
Louisiana,56
Alaska,54
Hawaii,54
District of Columbia,53
Kentucky,52
West Virginia,50
Georgia,49
Texas,47
Vermont,45
Kansas,44
Arkansas,39
New Mexico,37
California,33
Virginia,28
