Category: All categories

Region,Fitting in: (2021)
Idaho,100
Montana,99
Maine,92
New Hampshire,91
Michigan,89
Connecticut,89
Mississippi,87
West Virginia,87
New Mexico,86
Ohio,86
Nebraska,86
South Dakota,85
Indiana,84
Iowa,84
Massachusetts,84
Utah,83
Alabama,82
Louisiana,82
South Carolina,82
Missouri,82
Tennessee,81
Nevada,80
Washington,80
Oklahoma,79
Minnesota,79
North Dakota,79
Colorado,79
Wisconsin,76
Arizona,75
Arkansas,74
New Jersey,74
Illinois,73
Florida,73
Kentucky,73
Virginia,72
North Carolina,72
Maryland,72
Kansas,72
Pennsylvania,71
Delaware,71
Georgia,70
District of Columbia,70
Hawaii,68
Oregon,68
Texas,68
California,67
New York,64
Rhode Island,63
Vermont,59
Wyoming,
Alaska,
