Category: All categories

Region,Histrionic: (2018)
North Dakota,100
Montana,73
Maine,68
Utah,67
Oklahoma,64
Arkansas,62
Connecticut,62
Rhode Island,62
Kentucky,60
Alabama,60
Delaware,59
Pennsylvania,59
Idaho,59
Colorado,59
Washington,59
Maryland,58
Louisiana,56
Mississippi,56
Massachusetts,56
Nevada,55
Tennessee,55
West Virginia,55
New Hampshire,55
New York,55
Missouri,55
District of Columbia,54
Arizona,53
Virginia,53
North Carolina,53
Ohio,51
South Carolina,51
New Mexico,50
Indiana,50
Kansas,50
Illinois,50
Minnesota,50
Wisconsin,49
New Jersey,49
Iowa,49
Michigan,49
Nebraska,48
Georgia,48
Oregon,48
Alaska,48
Wyoming,46
California,45
Florida,45
Hawaii,44
Texas,43
Vermont,39
South Dakota,34
