Category: All categories

Region,Histrionic personality: (2017)
Alaska,100
Maine,85
North Dakota,81
Pennsylvania,66
Missouri,66
South Dakota,62
Delaware,62
Connecticut,60
Maryland,60
New Mexico,60
Ohio,60
Arkansas,60
Tennessee,60
Minnesota,58
Idaho,58
South Carolina,58
Kentucky,56
Michigan,56
Massachusetts,56
Hawaii,56
Oklahoma,56
Virginia,56
Iowa,54
Oregon,54
Alabama,54
Mississippi,54
District of Columbia,52
Indiana,52
North Carolina,52
Illinois,52
Nevada,52
Georgia,50
Wisconsin,50
Utah,50
Washington,50
Florida,50
Kansas,47
New Jersey,47
New York,47
Rhode Island,47
Colorado,45
New Hampshire,45
West Virginia,45
Louisiana,45
California,43
Texas,43
Arizona,41
Nebraska,37
Vermont,31
Montana,27
Wyoming,
