Category: All categories

Region,Histrionic personality disorder: (2005)
Nebraska,100
New Mexico,90
New Hampshire,81
Alaska,66
Connecticut,62
Alabama,57
Maine,46
Louisiana,37
Rhode Island,36
Minnesota,34
Hawaii,34
Tennessee,30
Oklahoma,30
Wisconsin,27
Maryland,27
New York,24
Indiana,20
North Carolina,20
Iowa,20
Pennsylvania,20
Massachusetts,20
District of Columbia,18
Florida,17
Texas,17
Illinois,16
Georgia,15
Arizona,15
Missouri,15
Oregon,13
Ohio,12
California,12
New Jersey,11
Colorado,11
Washington,11
Virginia,7
Arkansas,
Delaware,
Idaho,
Kansas,
Kentucky,
Michigan,
Mississippi,
Montana,
North Dakota,
Nevada,
South Carolina,
South Dakota,
Utah,
Vermont,
West Virginia,
Wyoming,
