Category: All categories

Region,I hate my parents: (2017)
Michigan,100
New Jersey,84
Massachusetts,82
California,82
Virginia,80
Washington,76
Florida,75
Illinois,73
New York,72
Georgia,71
Texas,70
North Carolina,69
Pennsylvania,67
Ohio,57
Wyoming,
Delaware,
New Mexico,
Idaho,
Hawaii,
Mississippi,
North Dakota,
Montana,
Wisconsin,
Oklahoma,
Minnesota,
Maryland,
Connecticut,
Alabama,
District of Columbia,
Nebraska,
New Hampshire,
Rhode Island,
Kentucky,
Tennessee,
Indiana,
Colorado,
Arizona,
Missouri,
Louisiana,
Oregon,
Arkansas,
Kansas,
Nevada,
South Dakota,
South Carolina,
Utah,
Maine,
Vermont,
Iowa,
West Virginia,
Alaska,
