Category: All categories

Region,Jesus: (2010)
Alabama,100
South Carolina,100
Virginia,95
Tennessee,91
Kentucky,91
Arkansas,90
Mississippi,89
Oklahoma,88
Indiana,86
Louisiana,85
Kansas,81
North Carolina,80
Florida,80
Texas,80
Georgia,80
Ohio,79
California,78
Missouri,78
West Virginia,78
New Mexico,73
Idaho,70
Utah,69
Wyoming,66
Illinois,65
Michigan,65
New Jersey,65
Arizona,65
Nebraska,64
Oregon,64
South Dakota,64
Pennsylvania,64
Montana,63
Maryland,63
North Dakota,63
Delaware,62
District of Columbia,62
Washington,62
Vermont,61
Iowa,61
Colorado,59
Minnesota,59
Hawaii,59
New York,58
Maine,57
Massachusetts,57
Wisconsin,57
Alaska,57
Rhode Island,56
Connecticut,54
New Hampshire,52
Nevada,51
