Category: All categories

Region,Narcissism: (2020)
Montana,100
Oregon,86
Idaho,80
Washington,75
Utah,72
Maine,66
District of Columbia,66
South Dakota,66
Colorado,65
Wyoming,64
Hawaii,63
New Mexico,63
Arkansas,63
North Dakota,61
Vermont,61
Arizona,60
Virginia,60
New Hampshire,60
Missouri,59
California,59
Minnesota,58
Connecticut,58
Oklahoma,58
Michigan,58
Rhode Island,58
Nebraska,56
Pennsylvania,56
Massachusetts,56
West Virginia,56
Maryland,56
Nevada,55
Mississippi,55
Georgia,55
Indiana,55
Kansas,54
Tennessee,54
Illinois,52
Iowa,52
Wisconsin,52
Alaska,52
New Jersey,51
Ohio,50
North Carolina,50
South Carolina,50
Kentucky,49
Louisiana,49
Texas,48
New York,48
Delaware,47
Florida,46
Alabama,45
