Category: All categories

Region,Narcissistic personality: (2005)
Vermont,100
Wyoming,86
Montana,75
Mississippi,70
Arkansas,67
Arizona,54
Kentucky,53
Indiana,43
Oklahoma,41
Oregon,41
Alabama,40
North Carolina,39
Massachusetts,38
Florida,37
Virginia,37
Kansas,35
Missouri,33
Maryland,33
District of Columbia,33
New Hampshire,31
Georgia,31
New Jersey,31
Connecticut,31
Colorado,30
California,28
Wisconsin,28
South Carolina,27
Illinois,26
Washington,25
Pennsylvania,25
Tennessee,24
Minnesota,24
New York,24
Texas,23
Ohio,22
Michigan,21
Alaska,
Delaware,
Hawaii,
Iowa,
Idaho,
Louisiana,
Maine,
North Dakota,
Nebraska,
New Mexico,
Nevada,
Rhode Island,
South Dakota,
Utah,
West Virginia,
