Category: All categories

Region,Obsessive compulsive: (2010)
Alaska,
North Dakota,
Arkansas,100
Idaho,98
Nebraska,98
Hawaii,
Mississippi,95
Indiana,92
Montana,
West Virginia,90
Utah,89
Rhode Island,88
New Mexico,88
Wisconsin,81
Connecticut,80
Wyoming,
Kansas,78
Iowa,77
Michigan,76
Pennsylvania,76
Alabama,75
Maryland,74
Minnesota,73
Ohio,73
Oklahoma,73
Missouri,71
Illinois,69
Maine,69
Kentucky,69
Colorado,67
Louisiana,63
South Carolina,62
Oregon,62
Georgia,62
North Carolina,60
Massachusetts,60
New York,60
New Jersey,57
Vermont,
Texas,57
Florida,55
Arizona,55
South Dakota,
District of Columbia,
Washington,54
Tennessee,50
New Hampshire,50
Nevada,40
California,35
Virginia,26
Delaware,24
