Category: All categories

Region,Obsessive compulsive personality: (2008)
North Dakota,
South Dakota,
Rhode Island,
Arkansas,
Kentucky,
Connecticut,
Nevada,
Idaho,
Utah,
Kansas,
New Hampshire,
Massachusetts,100
Hawaii,
Tennessee,
Missouri,
Arizona,
Georgia,91
Pennsylvania,83
Michigan,83
Washington,83
Wisconsin,
New Jersey,75
Minnesota,
Texas,75
Iowa,
California,66
Illinois,66
Alabama,
North Carolina,58
New York,58
District of Columbia,
Virginia,50
Ohio,50
Florida,41
Oregon,
Alaska,
Colorado,
Delaware,
Indiana,
Louisiana,
Maryland,
Maine,
Mississippi,
Montana,
Nebraska,
New Mexico,
Oklahoma,
South Carolina,
Vermont,
West Virginia,
Wyoming,
