Category: All categories

Region,Obsessive compulsive personality disorder: (2017)
South Dakota,
Maine,
West Virginia,
Oklahoma,
New Mexico,
Iowa,
North Dakota,
Alabama,
Wisconsin,100
Minnesota,100
Nebraska,
Ohio,87
Arkansas,
Utah,
Maryland,87
Alaska,
Kansas,
Indiana,87
Hawaii,
Louisiana,
Massachusetts,75
New York,75
Washington,62
Pennsylvania,62
Arizona,62
Missouri,62
Rhode Island,
North Carolina,62
South Carolina,
New Jersey,62
Florida,62
Georgia,50
Oregon,
Montana,
California,50
District of Columbia,
Illinois,50
Connecticut,
Idaho,
Virginia,50
Texas,50
Nevada,
Michigan,50
Colorado,50
Mississippi,
Kentucky,
Tennessee,
Delaware,
New Hampshire,
Vermont,
Wyoming,
