Category: All categories

Region,Paranoid personality: (2010)
West Virginia,
Nevada,100
Delaware,
New Mexico,
Arkansas,
Indiana,69
Kentucky,69
New Hampshire,
Wisconsin,66
Tennessee,63
Ohio,61
Alabama,61
Missouri,61
Arizona,61
North Carolina,58
Alaska,
Iowa,52
Michigan,52
Utah,52
Rhode Island,
Idaho,
South Carolina,50
Louisiana,50
Nebraska,
Minnesota,47
Colorado,47
Kansas,
Pennsylvania,44
Massachusetts,44
Connecticut,44
Washington,44
Maryland,41
New York,38
Florida,38
Texas,38
Illinois,36
Oklahoma,
District of Columbia,
Oregon,36
Maine,
Georgia,30
New Jersey,27
Hawaii,
Virginia,25
California,22
Mississippi,
Montana,
North Dakota,
South Dakota,
Vermont,
Wyoming,
