Category: All categories

Region,Paranoid personality disorder: (2004)
Delaware,
New Mexico,
Alabama,100
Maryland,65
Iowa,59
Utah,50
Michigan,49
Indiana,44
Wisconsin,41
Georgia,32
Virginia,26
Colorado,25
Texas,23
Ohio,23
Illinois,20
New York,19
Pennsylvania,17
California,17
Florida,14
Massachusetts,11
Washington,11
Alaska,
Arkansas,
Arizona,
Connecticut,
District of Columbia,
Hawaii,
Idaho,
Kansas,
Kentucky,
Louisiana,
Maine,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
Nevada,
Oklahoma,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Vermont,
West Virginia,
Wyoming,
