Category: All categories

Region,School stress: (2018)
Connecticut,100
Iowa,87
Massachusetts,82
District of Columbia,75
New Jersey,75
New Hampshire,74
Kansas,74
Virginia,73
Indiana,70
Mississippi,68
Pennsylvania,68
Maine,67
Missouri,66
Rhode Island,66
Colorado,66
Illinois,65
Minnesota,65
Ohio,64
Wisconsin,63
Oregon,62
Arkansas,61
Maryland,60
Hawaii,60
New York,60
Nebraska,59
South Carolina,59
North Carolina,57
California,56
Michigan,56
Kentucky,54
Alabama,54
Louisiana,54
Georgia,53
Washington,51
Utah,50
Tennessee,49
Texas,49
Oklahoma,48
Arizona,47
Florida,47
Nevada,40
New Mexico,39
Idaho,38
Delaware,37
West Virginia,34
Vermont,
South Dakota,
Wyoming,
Montana,
Alaska,
North Dakota,
