Category: All categories

Region,Suicide hotline: (2007)
Vermont,100
South Dakota,74
New Hampshire,71
New Mexico,64
Delaware,63
Montana,60
Alabama,57
Iowa,48
Maine,41
Oklahoma,39
Oregon,37
Wisconsin,35
Rhode Island,32
Virginia,31
Minnesota,31
Mississippi,30
South Carolina,30
Nevada,29
Massachusetts,29
Washington,28
New York,28
California,28
Florida,27
Kansas,27
Ohio,27
Illinois,26
Missouri,26
Tennessee,26
Indiana,26
Arizona,26
Michigan,25
Colorado,24
Maryland,24
Louisiana,23
Utah,23
Texas,22
Hawaii,22
District of Columbia,22
Pennsylvania,21
Kentucky,19
Georgia,19
North Carolina,19
New Jersey,16
Nebraska,14
Connecticut,10
Alaska,
North Dakota,
Idaho,
Arkansas,
West Virginia,
Wyoming,
